,ho00000686,ho00000687,ho00000690,ho00000755,ho00000758,ho00000765,ho00000807,ho00000849,ho00000851,ho00000860,ho00158208,ho00158321,ho00158327,ho00000776,ho00000778,ho00000779,ho00000780,ho00000781,ho00000783,ho00000785,ho00000786,ho00000787,ho00000788
2003-12-31,4.896774193548386,8.287096774193548,4.412903225806452,1.9741935483870965,4.309677419354839,-3.693548387096774,,-1.6580645161290322,6.2774193548387105,-5.716129032258065,-4.670967741935483,8.674193548387096,,2.8612903225806443,5.267741935483871,1.5580645161290319,4.377419354838709,3.535483870967742,4.387096774193547,4.174193548387097,2.8419354838709676,4.690322580645161,4.3354838709677415
2004-01-31,6.141935483870968,8.922580645161291,4.974193548387096,3.9419354838709677,4.393548387096775,-0.4774193548387097,,1.209677419354839,6.47741935483871,0.9225806451612902,-0.05161290322580645,8.745161290322581,,3.667741935483871,5.535483870967742,3.4709677419354836,4.393548387096775,4.429032258064517,4.983870967741937,4.770967741935484,4.212903225806452,5.535483870967741,5.570967741935484
2004-02-29,5.296551724137931,8.068965517241379,4.062068965517242,3.2931034482758625,4.375862068965517,-1.006896551724138,,1.1586206896551725,6.555172413793104,-1.396551724137931,-1.089655172413793,8.355172413793102,,3.2,5.686206896551725,2.6758620689655164,4.479310344827587,4.241379310344827,4.844827586206897,3.9896551724137925,3.441379310344828,4.575862068965516,4.8758620689655165
2004-03-31,4.496774193548387,7.625806451612903,3.6129032258064524,2.9709677419354836,4.290322580645161,-1.5645161290322578,,1.3838709677419354,7.692592592592592,-2.158064516129032,-0.8645161290322579,9.116129032258064,,2.6580645161290315,5.522580645161291,1.7741935483870963,4.435483870967742,3.5064516129032253,3.9096774193548383,3.8806451612903228,2.412903225806452,3.787096774193548,3.825806451612902
2004-04-30,2.5333333333333337,6.316666666666667,1.6466666666666667,0.7366666666666666,2.2266666666666666,-3.653333333333334,,-0.8266666666666665,5.329999999999999,-6.526666666666667,-3.0,7.64,,1.35,5.4033333333333315,0.45666666666666667,3.543333333333334,2.3600000000000003,2.556666666666667,2.2066666666666666,1.236666666666667,3.11,2.3866666666666663
2004-05-31,0.39999999999999997,2.6838709677419357,-0.9133333333333333,-6.9322580645161285,-1.293548387096774,-11.087096774193547,,-8.709677419354838,1.4806451612903226,-10.919354838709678,-11.219354838709679,6.509677419354838,,-3.1258064516129025,0.5548387096774193,-6.458064516129032,0.47419354838709665,-1.538709677419355,-3.24516129032258,-0.11290322580645161,-3.9677419354838706,-1.5967741935483868,-3.116129032258064
2004-06-30,-1.2333333333333332,1.0966666666666665,-2.7000000000000006,-7.506666666666667,-1.7000000000000002,-11.866666666666664,,-9.110000000000001,1.2700000000000002,-14.096666666666666,-11.58,6.193333333333333,,-4.573333333333334,-0.27999999999999997,-7.136666666666667,-1.14,-2.3933333333333335,-3.6066666666666674,-0.4466666666666666,-4.846666666666667,-2.4266666666666667,-5.326666666666666
2004-07-31,-0.3612903225806449,1.5096774193548386,-2.500000000000001,-5.79032258064516,-1.5580645161290323,-9.974193548387097,,-7.719354838709676,1.5290322580645161,-10.322580645161292,-10.3741935483871,4.7387096774193544,,-4.4709677419354845,-0.1903225806451613,-7.2,-1.2096774193548387,-2.5709677419354837,-2.883870967741935,-2.9225806451612897,-4.409677419354838,-1.929032258064516,-3.358064516129032
2004-08-31,0.07741935483870964,2.2516129032258063,-2.07741935483871,-3.8806451612903223,0.4258064516129032,-8.480645161290322,,-6.009677419354839,3.62258064516129,-8.16774193548387,-8.187096774193549,7.290322580645161,,-2.648387096774193,0.3193548387096775,-4.338709677419355,0.009677419354838696,-0.5225806451612903,-1.0741935483870966,-0.8096774193548387,-2.464516129032258,-0.8096774193548386,-1.1677419354838707
2004-09-30,3.1866666666666665,6.300000000000001,1.18,-2.356666666666667,1.0799999999999998,-8.52,,-6.043333333333333,4.226666666666668,-11.203333333333331,-9.0,7.34,,-0.053333333333333253,2.8833333333333333,-2.619999999999999,2.496666666666667,1.7566666666666668,1.0533333333333332,1.033333333333333,-0.7699999999999999,0.6966666666666667,0.45
