,ho00000686,ho00000687,ho00000690,ho00000755,ho00000758,ho00000765,ho00000807,ho00000849,ho00000851,ho00000860,ho00158208,ho00158321,ho00158327,ho00000776,ho00000778,ho00000779,ho00000780,ho00000781,ho00000783,ho00000785,ho00000786,ho00000787,ho00000788
2003-02-28,165.79999999999998,172.9,142.60000000000002,144.0,91.0,87.89999999999999,67.8,65.5,62.699999999999996,68.10000000000001,57.129999999999995,1.33,110.2,98.69999999999999,114.89999999999999,136.2,92.5,95.3,82.60000000000001,102.3,107.8,155.0,147.20000000000005
2003-03-31,157.69999999999996,127.50000000000001,133.4,118.3,66.0,101.75,51.199999999999996,51.3,45.900000000000006,87.99999999999999,68.89999999999999,30.52,77.69999999999999,163.2,134.8,139.10000000000002,116.69999999999999,109.1,145.79999999999998,108.2,131.3,173.9,174.6
2003-04-30,50.5,54.39999999999999,15.7,24.3,19.7,19.55,1.0,16.3,6.5,5.2,10.719999999999999,0.0,4.0,41.699999999999996,60.199999999999996,18.3,22.1,58.9,37.7,43.4,46.300000000000004,52.300000000000004,36.1
2003-05-31,5.9,13.0,10.3,4.71,6.5,14.100000000000001,9.2,7.0,13.9,9.0,11.91,0.04,10.0,9.6,7.000000000000001,5.2,10.8,4.7,7.8,4.6,3.0,20.999999999999996,18.299999999999997
2003-06-30,2.6,10.1,9.2,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.01,0.0,0.0,4.8,7.6,3.2,2.6,5.7,11.4,9.1,11.0,10.6,6.8
2003-07-31,0.0,0.0,2.5,1.82,0.0,0.2,0.0,0.9,0.0,5.2,0.2,0.01,2.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,1.1,10.1,2.4
2003-08-31,8.7,3.8,25.5,8.9,4.5,14.299999999999999,3.7,2.5,10.0,2.2,4.5,0.0,0.0,10.5,7.0,1.5,0.9,5.000000000000001,3.5,13.0,3.0,14.3,3.4
2003-09-30,7.4,3.0999999999999996,4.8,1.7,1.0,0.9500000000000001,0.0,0.2,0.0,0.0,0.81,0.0,0.0,15.100000000000001,15.4,30.9,16.9,7.8,19.2,30.5,22.4,47.3,43.7
2003-10-31,65.1,42.1,15.7,8.2,0.0,6.2,0.0,0.0,0.0,1.4000000000000001,0.02,0.0,2.3,29.300000000000004,14.8,9.1,14.0,32.9,19.4,73.2,67.6,54.699999999999996,31.5
2003-11-30,38.199999999999996,68.8,17.8,3.01,0.4,11.6,0.0,4.1,0.0,10.100000000000001,0.11,0.0,15.0,25.2,16.1,23.7,68.1,42.4,59.800000000000004,68.0,40.8,12.299999999999999,25.6
2003-12-31,161.70000000000005,142.7,123.5,82.41000000000001,46.6,54.25000000000001,16.7,19.1,37.6,33.50000000000001,52.02,0.060000000000000005,61.8,135.60000000000002,80.60000000000001,132.10000000000002,136.2,77.1,74.60000000000001,117.4,105.9,219.1,167.09999999999997
2004-01-31,189.5,250.10000000000002,169.70000000000002,181.11999999999998,144.8,141.25000000000003,144.20000000000002,75.7,78.79999999999998,159.00000000000003,107.73,12.569999999999999,123.69999999999999,260.59999999999997,240.4,266.6,193.0,227.39999999999998,219.0,282.59999999999997,195.9,244.2,202.40000000000003
2004-02-29,219.70000000000002,179.1,106.5,150.89999999999998,90.1,120.80000000000001,100.4,76.2,90.0,94.60000000000001,80.5,35.0,98.39999999999999,151.4,160.20000000000002,144.1,100.1,93.9,144.4,129.10000000000002,147.1,114.3,182.89999999999998
2004-03-31,56.8,87.80000000000001,91.6,176.6,121.89999999999999,77.8,72.39999999999999,67.1,31.2,68.9,75.44999999999999,0.02,64.10000000000001,86.6,61.8,100.99999999999999,81.6,47.699999999999996,125.4,120.39999999999999,54.10000000000001,61.10000000000001,105.60000000000001
2004-04-30,22.6,63.6,28.5,12.1,40.2,27.65,0.0,30.900000000000002,20.000000000000004,5.4,6.729999999999999,0.0,7.7,40.2,50.599999999999994,38.89999999999999,34.199999999999996,22.799999999999997,35.6,66.69999999999999,42.8,28.200000000000003,48.9
2004-05-31,14.100000000000001,16.9,17.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9000000000000004,7.4,3.3,8.5,15.899999999999999,8.4,25.199999999999996,6.1,4.8,6.2
2004-06-30,12.200000000000001,12.9,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.8,0.8,0.0,2.0,0.5,0.0,5.6,1.8,11.799999999999999,17.200000000000003,0.8
2004-07-31,8.7,10.6,27.9,19.9,7.6,22.4,12.0,11.9,14.1,22.6,20.009999999999998,5.41,21.9,4.300000000000001,4.8,2.3000000000000003,7.699999999999999,2.8000000000000003,7.800000000000001,0.8,8.3,10.0,12.700000000000001
2004-08-31,0.0,36.5,14.7,11.1,3.0999999999999996,5.35,3.0,2.1999999999999997,4.0,21.4,7.4399999999999995,0.01,26.700000000000003,15.4,22.8,19.200000000000003,18.4,16.5,17.1,20.599999999999998,32.8,30.499999999999996,23.7
2004-09-30,34.4,56.50000000000001,47.99999999999999,27.300000000000004,24.299999999999997,7.45,0.0,0.2,0.0,0.6,2.839999999999999,0.0,1.6,50.9,40.6,26.5,12.8,39.6,43.8,28.1,21.099999999999998,18.3,39.8
2004-10-31,59.800000000000004,57.5,55.4,3.5,0.0,0.2,0.0,0.0,0.0,2.8000000000000003,0.02,0.0,5.5,24.299999999999997,13.0,21.6,2.9,11.0,5.6,39.4,34.0,21.299999999999997,17.2
2004-11-30,53.8,85.2,69.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.69999999999999,53.8,16.8,30.699999999999996,62.6,57.59999999999999,65.4,51.300000000000004,69.5,29.199999999999996
2004-12-31,148.10000000000002,182.6,91.3,52.10999999999999,37.099999999999994,63.7,5.01,6.499999999999999,23.2,37.9,21.050000000000004,0.71,61.4,153.0,118.80000000000001,99.99999999999999,58.199999999999996,71.5,70.60000000000001,133.49999999999997,91.9,52.10000000000001,91.10000000000001
2005-01-31,113.0,125.69999999999999,60.199999999999996,96.6,68.70000000000002,88.95,91.9,65.89999999999999,67.5,96.80000000000001,35.12,19.130000000000003,68.60000000000001,70.6,52.5,100.59999999999998,75.30000000000001,42.49999999999999,90.0,98.60000000000001,109.39999999999999,144.00000000000003,113.80000000000001
2005-02-28,107.1,148.4,147.4,172.5,106.9,152.3,125.8,76.00000000000001,101.40000000000002,160.1,137.0,22.06,150.7,224.9,200.79999999999998,278.3,265.70000000000005,171.8,154.8,224.20000000000002,148.60000000000002,231.3,216.4
2005-03-31,96.00000000000001,95.4,109.80000000000001,67.80000000000001,66.99999999999999,77.9,71.4,26.099999999999998,32.7,89.59999999999998,58.22,7.32,48.0,130.2,54.7,116.5,84.0,78.5,83.8,84.59999999999998,96.6,33.800000000000004,101.1
2005-04-30,23.3,48.8,,22.900000000000002,7.9,33.4,15.2,41.7,10.6,18.1,15.729999999999999,0.0,10.4,26.3,35.4,49.6,49.699999999999996,28.599999999999998,20.5,27.9,16.6,49.9,21.1
2005-05-31,1.9,4.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30000000000000004,0.5,0.0,0.0,0.3,1.0,2.3,0.5,0.5,0.0
2005-06-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005-07-31,2.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0
2005-08-31,2.2,2.9,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,2.8,0.0,0.5,5.0,5.2,1.0,5.199999999999999,9.0,2.6
2005-09-30,0.4,0.0,9.9,20.51,19.9,17.55,9.5,15.899999999999999,9.0,2.6,14.42,8.8,1.7,4.8,3.8,22.4,5.8,19.6,22.8,8.4,28.0,30.599999999999998,34.6
2005-10-31,43.3,61.89999999999999,27.5,2.71,0.2,3.3,0.0,0.0,0.0,1.8,0.0,0.0,1.5,94.8,75.9,74.9,30.6,59.800000000000004,60.0,80.1,75.5,94.69999999999999,74.9
2005-11-30,96.60000000000001,82.19999999999999,77.69999999999999,9.5,0.3,19.15,0.0,2.7,0.0,18.3,4.22,0.0,19.5,82.99999999999999,62.2,54.300000000000004,70.6,34.3,68.2,68.2,31.5,97.2,67.69999999999999
2005-12-31,105.6,93.1,98.69999999999999,93.21000000000001,68.2,92.29999999999998,56.199999999999996,54.0,22.599999999999998,87.79999999999998,64.13,11.12,99.2,67.0,86.39999999999999,174.5,79.9,84.5,126.8,124.8,94.2,131.20000000000002,108.7
2006-01-31,202.80000000000004,162.2,104.3,232.6,116.80000000000001,216.04999999999995,160.2,128.20000000000002,149.5,177.20000000000002,144.0,13.49,211.09999999999997,177.49999999999997,146.39999999999998,188.2,230.20000000000002,188.7,131.8,203.89999999999998,224.29999999999998,238.4,265.09999999999997
2006-02-28,133.0,133.7,107.99999999999999,164.92000000000002,114.8,139.04999999999998,132.5,81.89999999999999,53.49999999999999,125.2,114.32000000000001,48.35,105.6,65.90000000000002,46.900000000000006,109.5,107.30000000000001,36.699999999999996,42.4,61.9,31.1,93.60000000000002,65.7
2006-03-31,132.5,149.9,161.5,228.71999999999994,164.99999999999997,153.75000000000003,81.7,100.59999999999998,89.4,170.09999999999997,107.32000000000001,12.28,202.3,104.99999999999999,64.6,122.90000000000002,133.1,75.29999999999998,55.2,56.99999999999999,76.69999999999999,69.2,131.49999999999997
2006-04-30,90.00000000000001,98.80000000000001,70.30000000000001,29.8,7.199999999999999,28.6,3.1,3.6999999999999997,5.3,36.4,4.22,0.0,8.5,44.5,50.49999999999999,19.799999999999997,49.900000000000006,17.2,28.4,87.19999999999999,39.300000000000004,21.799999999999997,33.7
2006-05-31,0.0,0.0,0.4,1.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.2,0.0,0.0,0.5,2.4,1.2
2006-06-30,6.2,12.4,3.3,5.8,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.6,2.1,2.3,0.7,1.3,2.6,0.0,1.5,0.0,6.2
2006-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006-08-31,8.8,5.3,14.100000000000001,1.9,0.0,0.4,0.01,0.0,,0.0,0.04,0.0,0.0,2.1,3.9,0.2,2.8000000000000003,2.3000000000000003,1.4,6.6,3.8,1.4000000000000001,9.2
2006-09-30,2.3,1.9,6.6,10.5,14.3,3.6,0.01,1.2,,0.0,2.42,0.0,0.0,2.8000000000000003,37.0,20.1,44.20000000000001,11.299999999999999,19.0,28.099999999999998,23.1,55.0,32.0
2006-10-31,42.29999999999999,58.400000000000006,84.6,35.0,26.099999999999998,9.1,3.0199999999999996,12.7,,21.0,6.31,4.51,5.5,79.9,42.9,52.10000000000001,38.0,60.599999999999994,67.60000000000001,62.0,55.900000000000006,16.9,25.900000000000002
2006-11-30,77.2,133.8,85.39999999999999,41.9,42.300000000000004,44.9,0.01,15.8,8.5,30.0,16.610000000000003,0.02,22.6,78.5,63.599999999999994,79.7,60.2,60.6,67.39999999999999,82.8,51.3,63.800000000000004,75.4
2006-12-31,109.80000000000001,133.49999999999997,118.60000000000001,16.2,33.9,52.89999999999999,1.01,15.099999999999998,12.799999999999999,64.9,18.52,1.92,64.3,144.3,79.5,95.69999999999999,69.0,71.10000000000001,80.60000000000001,124.89999999999999,113.2,148.9,62.0
2007-01-31,176.49999999999997,197.3,129.5,147.0,138.8,133.85,71.4,102.4,111.5,97.9,95.71000000000001,6.02,93.5,110.8,130.2,81.5,68.10000000000001,97.0,77.8,103.99999999999999,137.9,140.3,76.5
2007-02-28,76.4,163.60000000000002,97.39999999999999,144.0,120.79999999999998,96.1,83.0,61.800000000000004,71.6,87.69999999999999,90.11,21.660000000000004,181.1,77.8,58.1,67.80000000000001,105.4,54.5,58.8,15.600000000000001,97.39999999999999,96.39999999999999,34.7
2007-03-31,171.99999999999997,178.70000000000002,107.6,95.1,102.9,156.09999999999997,79.99999999999999,71.8,110.29999999999998,123.60000000000001,101.22,3.6999999999999997,208.5,162.39999999999998,152.6,254.79999999999998,268.6,164.60000000000002,158.8,119.10000000000001,122.8,172.79999999999998,160.90000000000003
2007-04-30,46.699999999999996,92.49999999999999,31.9,25.61,35.1,35.449999999999996,3.6,3.1,16.0,9.2,21.730000000000004,0.0,0.0,61.3,60.5,83.5,67.5,80.6,98.2,57.800000000000004,64.0,118.90000000000002,47.2
2007-05-31,2.1,1.0,9.9,9.8,1.6,7.7,0.0,1.2999999999999998,0.0,2.0,1.81,0.0,3.8,11.2,14.399999999999999,14.0,2.4,12.5,15.8,21.4,5.2,7.1,4.2
2007-06-30,0.0,0.0,0.0,0.01,0.9,0.0,0.0,0.0,1.1,0.0,0.31,0.0,0.11,0.0,0.6,0.5,0.0,0.30000000000000004,1.8,0.0,0.0,0.0,0.0
2007-07-31,0.6000000000000001,5.5,5.1,2.1,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,6.699999999999999,0.8,0.6,1.0,0.0,2.2,5.800000000000001,3.2
2007-08-31,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,10.0,0.0,0.8,1.2,0.0,0.7,0.0,6.4
2007-09-30,11.299999999999999,2.9,2.5,3.3,0.8,1.0,0.0,0.0,0.0,3.8,1.1700000000000002,0.0,0.03,23.7,25.800000000000004,16.200000000000003,75.4,60.599999999999994,59.800000000000004,24.4,83.10000000000001,75.0,41.5
2007-10-31,39.5,51.2,53.7,8.1,0.7,4.3,0.5,0.9,0.0,2.0,2.13,0.0,3.1,18.3,19.400000000000002,27.4,40.6,17.100000000000005,17.0,12.6,7.6,38.2,9.0
2007-11-30,101.7,96.6,50.70000000000001,23.200000000000003,18.1,35.95,0.0,17.6,5.800000000000001,17.200000000000003,26.21,0.01,12.000000000000002,68.6,75.4,93.30000000000001,97.6,62.800000000000004,68.30000000000001,50.8,58.099999999999994,100.7,75.3
2007-12-31,127.7,88.90000000000002,75.3,56.31999999999999,53.3,39.8,33.1,37.5,20.700000000000003,71.0,33.06,0.32,45.800000000000004,110.10000000000001,51.0,93.79999999999998,81.89999999999999,82.39999999999998,81.8,55.4,115.4,89.8,128.9
2008-01-31,137.50000000000003,147.39999999999998,151.6,229.7,262.3,150.6,226.2,135.1,161.1,173.60000000000002,136.92999999999998,81.77,175.39999999999998,172.70000000000002,130.29999999999998,236.79999999999998,266.59999999999997,98.39999999999999,146.2,132.79999999999998,134.3,219.3,208.59999999999997
2008-02-29,70.41000000000001,212.9,114.69999999999999,128.4,111.9,85.8,154.5,80.6,65.2,73.8,90.22,22.019999999999996,128.70000000000002,121.60000000000001,95.5,71.80000000000001,74.5,91.9,74.9,93.7,76.6,135.6,77.60000000000001
2008-03-31,100.3,76.69999999999999,62.6,49.0,32.4,46.900000000000006,224.59999999999997,69.69999999999999,41.4,58.800000000000004,49.31,12.53,54.69999999999999,58.3,52.4,74.6,65.1,43.699999999999996,53.0,42.7,61.8,118.00000000000001,124.89999999999999
2008-04-30,22.5,41.9,24.0,3.52,0.0,1.3,0.0,0.0,0.0,0.0,0.21000000000000002,0.0,0.0,8.9,4.6,3.4000000000000004,6.3,1.0,0.0,10.0,5.1,7.0,0.0
2008-05-31,21.400000000000002,20.0,8.4,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,6.2,3.7,0.0,3.1,8.6,1.9,8.7,20.2,0.0
2008-06-30,4.5,7.699999999999999,6.2,0.5,0.0,0.1,0.0,0.8,0.0,0.0,2.21,0.0,0.0,0.5,0.0,1.2,0.2,0.0,0.4,0.0,0.0,0.0,0.0
2008-07-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008-08-31,3.2,0.0,13.7,0.0,1.6,0.4,5.6,0.8,0.5,6.6,1.5,0.0,6.5,0.4,0.0,1.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0
2008-09-30,28.400000000000002,12.600000000000001,6.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.9,7.6000000000000005,3.3,1.8,22.800000000000004,7.6,8.899999999999999,5.5,5.300000000000001,0.0
2008-10-31,51.99999999999999,73.1,54.8,4.1,4.0,5.95,0.0,0.4,0.0,3.6,0.05,0.0,0.0,43.00000000000001,49.6,54.6,34.9,44.0,52.2,67.7,48.5,85.00000000000001,44.0
2008-11-30,75.1,46.2,87.1,4.4,1.7,6.300000000000001,0.0,0.0,0.0,1.4,0.01,0.0,0.0,44.6,26.5,23.399999999999995,70.1,61.5,42.1,31.4,32.699999999999996,10.499999999999998,12.4
2008-12-31,115.7,145.9,185.2,80.89999999999999,61.0,78.6,28.5,47.599999999999994,40.99999999999999,112.0,54.03,7.430000000000001,83.8,177.89999999999998,155.6,168.3,153.49999999999997,171.59999999999997,150.8,181.0,212.19999999999996,242.50000000000003,176.7
2009-01-31,178.29999999999998,122.49999999999999,112.60000000000001,,81.5,109.0,31.800000000000004,87.3,33.5,26.4,60.61999999999999,0.55,10.3,91.80000000000001,112.10000000000001,102.10000000000001,88.8,130.0,41.1,77.7,80.10000000000001,85.19999999999999,94.9
2009-02-28,123.2,125.50000000000001,106.6,245.01,156.79999999999998,187.95000000000002,76.49999999999999,107.10000000000001,99.8,137.4,209.11999999999998,41.23,152.39999999999998,123.80000000000001,90.9,190.3,119.7,91.89999999999999,139.10000000000002,100.1,113.3,87.8,162.29999999999998
